iter	Logloss
0	0.5220939548
1	0.4270315615
2	0.3706909709
3	0.3360849083
4	0.3098787939
5	0.2937919079
6	0.2792332032
7	0.2715158741
8	0.2637310272
9	0.2565539787
10	0.2497159421
11	0.2449224462
12	0.2400767167
13	0.2361945678
14	0.2322534501
15	0.2251725865
16	0.2225853504
17	0.2130644087
18	0.2085591367
19	0.2049055936
20	0.2016151215
21	0.1977672403
22	0.1940739221
23	0.1909270216
24	0.1882192994
25	0.1827586233
26	0.1787158231
27	0.1751400634
28	0.1721929185
29	0.168763012
30	0.1670643057
31	0.1647055741
32	0.162505638
33	0.1588153454
34	0.1557658217
35	0.1522154542
36	0.1494579326
37	0.1473404235
38	0.1451579726
39	0.1428946963
40	0.1406176993
41	0.1385000558
42	0.1370777407
43	0.135379416
44	0.1335306627
45	0.1307139426
46	0.1298283761
47	0.1274788205
48	0.1261599507
49	0.1243083011
50	0.1223679456
51	0.121664088
52	0.1206147094
53	0.1189752068
54	0.1169037616
55	0.1152274018
56	0.114382819
57	0.1127298091
58	0.1104221658
59	0.1093783575
60	0.1086870767
61	0.1072594521
62	0.1060554988
63	0.1051379563
64	0.1036923666
65	0.1031313098
66	0.1023466569
67	0.1014658827
68	0.100373321
69	0.09930697887
70	0.09828666018
71	0.09706610199
72	0.09604445302
73	0.0953632135
74	0.0934379306
75	0.0928997007
76	0.09245424034
77	0.09162547481
78	0.09072847639
79	0.08949012851
80	0.08824062469
81	0.08758218206
82	0.08697713262
83	0.08513977825
84	0.08462154607
85	0.08369510675
86	0.08286564252
87	0.08216731161
88	0.08145802172
89	0.08042475488
90	0.07942537286
91	0.07899883961
92	0.07816073784
93	0.07721903789
94	0.07647530573
95	0.07548855533
96	0.07510168939
97	0.07434245455
98	0.07320493876
99	0.07247354091
100	0.07202819538
101	0.07143302133
102	0.07069982503
103	0.07003465314
104	0.06869217102
105	0.06830704357
106	0.06769608587
107	0.06736819193
108	0.06644476136
109	0.0655002699
110	0.06501122023
111	0.06432256324
112	0.06366870766
113	0.06278086137
114	0.06205828814
115	0.06159521945
116	0.06099001599
117	0.06066958569
118	0.06008755309
119	0.0591922861
120	0.05819610762
121	0.05767804629
122	0.05727518068
123	0.05681760179
124	0.05609259606
125	0.05583473511
126	0.0549392601
127	0.05446910428
128	0.053732584
129	0.05345343028
130	0.05317489594
131	0.05273741296
132	0.0523629956
133	0.05213531097
134	0.05186948671
135	0.05127606569
136	0.0507377487
137	0.05040744944
138	0.04950773096
139	0.04918609959
140	0.04875541772
141	0.04850927784
142	0.04798471033
143	0.04770860336
144	0.04728775827
145	0.04699532751
146	0.04640076894
147	0.04605336557
148	0.04561752059
149	0.04519856148
150	0.04493209209
151	0.0446112733
152	0.04407144124
153	0.04342208882
154	0.04313082164
155	0.04277821197
156	0.04216308284
157	0.0417194855
158	0.04125949313
159	0.04104176311
160	0.04079956218
161	0.04048537389
162	0.04027729412
163	0.03988706965
164	0.03946832914
165	0.03912730905
166	0.03861647777
167	0.03821639126
168	0.03791963056
169	0.03775864439
170	0.03711725529
171	0.0366786302
172	0.03616060094
173	0.03599857433
174	0.03575280281
175	0.0354215413
176	0.03519198528
177	0.03495917328
178	0.03465801575
179	0.0342252026
180	0.03399803002
181	0.03379153784
182	0.03353441808
183	0.03304428289
184	0.0329025161
185	0.03268820441
186	0.0324625425
187	0.03226628303
188	0.03207820051
189	0.03195173059
190	0.03163843793
191	0.03150021492
192	0.03131216445
193	0.03108508785
194	0.03086901981
195	0.03066144362
196	0.03043827199
197	0.03003086224
198	0.02990443549
199	0.02970593891
200	0.02944781939
201	0.02904481313
202	0.02891956311
203	0.02875793109
204	0.02855485981
205	0.02844205856
206	0.0283228468
207	0.02820964927
208	0.028014892
209	0.02789869246
210	0.02769870739
211	0.02735537108
212	0.0271537407
213	0.02688138785
214	0.0266750087
215	0.02642306646
216	0.02629974982
217	0.02613666839
218	0.026042726
219	0.02586265764
220	0.02572029487
221	0.02543806941
222	0.0252233026
223	0.02502172412
224	0.02483607296
225	0.02474473509
226	0.02461606629
227	0.02449510992
228	0.02434762724
229	0.02408233975
230	0.02399261421
231	0.02373549591
232	0.02342187286
233	0.02334568995
234	0.02317953517
235	0.02307655574
236	0.02300176312
237	0.02277774233
238	0.02268224799
239	0.02256613228
240	0.02241120317
241	0.02235330743
242	0.0221973062
243	0.02200501028
244	0.02180166304
245	0.02164493965
246	0.02157366496
247	0.02150959438
248	0.02140491678
249	0.02130272092
250	0.02118832977
251	0.02105931604
252	0.02079694432
253	0.0206465859
254	0.02052850126
255	0.02044752174
256	0.02032390114
257	0.02020479477
258	0.02002378767
259	0.01991442429
260	0.01984303519
261	0.01978043929
262	0.0195361214
263	0.01930815483
264	0.01921947553
265	0.01915567289
266	0.01908604474
267	0.01901182178
268	0.01892768271
269	0.0188180998
270	0.01874620157
271	0.01855509982
272	0.01846514568
273	0.01824363866
274	0.01809334336
275	0.0180273207
276	0.01792014107
277	0.01773180247
278	0.01760244216
279	0.01752870659
280	0.01738127932
281	0.01728516848
282	0.01721777056
283	0.01714637054
284	0.01706429057
285	0.01700623484
286	0.0169353306
287	0.01677846249
288	0.01659830518
289	0.01649942365
290	0.0163041208
291	0.01622559012
292	0.01610854539
293	0.01606611829
294	0.01595714088
295	0.01585702429
296	0.01575979436
297	0.01569723451
298	0.01564527929
299	0.0156184569
